Name,URL,Category,License,Pricing,Execution Model,Tier,Evidence,Last Checked
1Code,https://1code.ai,Coding Agent,Proprietary,Subscription,Cloud,red,[QUALITY AUDIT 2026-09-06 → red] Domain parked/for sale on GoDaddy; root 200 is stub redirecting /lander → forsale.godaddy.com (403). Not a live product. | [Active] HTTP 200 OK,2026-09-06
Aether,https://www.runaether.dev/,Coding Agent,,,,yellow,[NEW vs seed] [Active] Show HN 3/3 (2026-07-11) — low signal but in-scope. Watchable cloud devboxes for Claude Code/Codex/OpenCode.,2026-09-06
Agent Swarm,https://docs.agent-swarm.dev/,Coding Agent,,,,yellow,[NEW vs seed] [Active] OSS swarm OS: lead agent + Docker workers; harness abstraction for Claude Code/Codex/Devin/opencode/pi.,2026-09-06
Agent Zero,https://github.com/frdel/agent-zero,Coding Agent,Open Source,Free,Self-Hosted,green,[Active] HTTP 200 OK,2026-09-06
AgentsRoom,https://agentsroom.com,Coding Agent,Proprietary,Free,Local,red,[QUALITY AUDIT 2026-09-06 → red] Dead/unreachable domain: TLS EOF on HTTPS; no usable product site. | [Unknown] agentsroom.com TLS EOF from probe egress,2026-09-06
AgentWrapper Orchestrator,https://github.com/AgentWrapper/agent-orchestrator,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200 OK,2026-09-06
Agor,https://agor.live,Coding Agent,BSL 1.1,Free (self-host),Hybrid,green,[NEW 2026-09-07] Active preset-io/agor multiplayer coding workspace,2026-09-07
Aider,https://aider.chat/,Coding Agent,Open Source,Free (BYOK),CLI,green,[Active] HTTP 200 OK; title=Aider - AI Pair Programming in Your Terminal,2026-09-06
All Hands OpenHands Cloud,https://www.openhands.dev/,Coding Agent,Open-Core,Free (BYOK),Hybrid,green,[Active] HTTP 200 OK; title=OpenHands | The Open Platform for Cloud Coding Agents,2026-09-06
Amazon Q Developer CLI,https://aws.amazon.com/q/developer/,Coding Agent,Open Source,Freemium,Cloud,green,[Active] HTTP 200 OK,2026-09-06
Amp (formerly Sourcegraph Amp),https://ampcode.com/,Coding Agent,Proprietary,Freemium,Cloud,green,[Active] ampcode.com 200,2026-09-06
Ant CodeFuse (蚂蚁 CodeFuse),https://codefuse.ai,Coding Agent,,,,green,[NEW vs seed] [Active] Ant Group open-source code LLM + muAgent multi-agent DevOps framework / ChatBot. Alive industrial OSS coding-agent stack. Missing from seed.,2026-09-06
Ante,https://github.com/AntigmaLabs/ante,Coding Agent,,,,yellow,[NEW vs seed] [Active] Show HN 169/93 (2026-08-10). Single-binary offline coding agent.,2026-09-06
async-code,https://github.com/ObservedObserver/async-code,Coding Agent,Open Source,Free,Cloud,red,[QUALITY AUDIT 2026-09-06 → red] Obscure Cursor/Codex-style clone; last push 2025-11-18 (~9.5 months); abandoned 6+ months; 535 stars. | [Active] HTTP 200 OK,2026-09-06
Asynkor,https://github.com/asynkor/asynkor,Coding Agent,,,,yellow,"[NEW vs seed] [Active] Multi-machine multiplayer coordination for MCP agents (file leases, shared memory); early OSS signal.",2026-09-06
Atomic,https://github.com/bastani-inc/atomic,Coding Agent,,,,yellow,[NEW vs seed] [Active] Verifiable agent runtime [lane4 live verify],2026-09-06
Auggie CLI,https://github.com/AugmentCode/auggie,Coding Agent,,,,green,[NEW vs seed] [Active] Augment terminal agent [lane4 live verify],2026-09-06
Augment Code,https://augmentcode.com,Coding Agent,Proprietary,Subscription,IDE Extension,green,[Active] www.augmentcode.com 200; organizational agentic coding platform | Augment platform live; remote/cloud agents,2026-09-06
Augment Cosmos,https://www.augmentcode.com/product/cosmos,Coding Agent,,,,green,"[NEW vs seed] [Active] Augment's agentic SE OS / control plane: Experts, Environments (cloud VMs), Triggers, Automations, shared memory. Fleet orchestration across SDLC; mobile/Slack/web. Public preview ~May 2026. MISSING from seed as Cosmos.",2026-09-06
Augment Intent,https://intentapp.dev,Coding Agent,,,,green,"[NEW vs seed] [Active] macOS desktop multi-agent orchestration workspace (public beta). Living spec + Coordinator/Implementor/Verifier; parallel git worktrees; BYOA (Claude Code, Codex, OpenCode). Domain also intentapp.dev. MISSING from seed.",2026-09-06
avante.nvim,https://github.com/yetone/avante.nvim,Coding Agent,Open Source,Free (BYOK),Hybrid,green,[Active] HTTP 200 OK,2026-09-06
Baidu Comate,https://comate.baidu.com,Coding Agent,Proprietary,Free,IDE Extension,green,[Active] HTTP 200 OK,2026-09-06
Beads,https://github.com/steveyegge/beads,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200 OK,2026-09-06
Bismuth,https://bismuth.cloud,Coding Agent,Proprietary,Free,Cloud,red,[Dead] bismuth.cloud NXDOMAIN,2026-09-06
Bito,https://bito.ai/,Coding Agent,Proprietary,Freemium,Cloud,green,[Active] HTTP 200 OK,2026-09-06
Blackbox AI,https://www.blackbox.ai/,Coding Agent,Proprietary,Freemium,Cloud,yellow,"[QUALITY AUDIT 2026-09-06 → yellow] Site live with 2026 signals but product page is frontier-inference platform, not a coding agent (category/vapor mismatch). | [Active] HTTP 200 OK; title=Blackbox: The high-trust platform for frontier inference",2026-09-06
Blitzy,https://blitzy.com,Coding Agent,Proprietary,Subscription,Cloud,green,[Active] HTTP 200 OK; title=Blitzy: AI-Powered Autonomous Software Development Platform,2026-09-06
Boxes.dev,https://boxes.dev,Coding Agent,,,,green,[NEW vs seed] [Active] Show HN 105/79 (2026-06-04). Cloud-only ADE for Claude Code/Codex; desktop+mobile.,2026-09-06
Broccoli,https://github.com/besimple-oss/broccoli,Coding Agent,Open Source,Free,Self-Hosted,yellow,[QUALITY AUDIT 2026-09-06 → yellow] Obscure/thin GitHub-only Linear→PR agent; last push 2026-04-26 (~4.3 months); only 285 stars; stale vs ~3mo keep bar. | [Active] HTTP 200 OK,2026-09-06
Bullet,https://www.codewithbullet.com/,Coding Agent,Proprietary,Free (beta / BYOK),CLI,green,[NEW 2026-09-07] Active YC coding agent CLI + GUI,2026-09-07
Canopy,https://canopy.dev,Coding Agent,Proprietary,Free,Local,red,[Dead] canopy.dev NXDOMAIN,2026-09-06
Capy,https://capy.ai/,Coding Agent,,,,green,[NEW vs seed] [Active] Browser orchestration for parallel cloud coding agents (Captain/Build/Review roles) with isolated VMs and PR workflow.,2026-09-06
Catnip,https://github.com/catnip-ai/catnip,Coding Agent,Open Source,Free,Self-Hosted,red,[Dead] github.com/catnip-ai/catnip 404,2026-09-06
ccmanager,https://github.com/kbwo/ccmanager,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200 OK,2026-09-06
Charlie Labs Daemons,https://charlielabs.ai,Coding Agent,Proprietary,Subscription,Cloud,green,[Active] HTTP 200 OK; title=Daemons work 24/7. No prompts required. | Charlie Labs,2026-09-06
Cisco Antares,https://github.com/cisco-foundation-ai/antares,Coding Agent,Open Source,Free,Local,red,[Dead] github.com/cisco-foundation-ai/antares 404; seed Active stale,2026-09-06
Claude Code,https://code.claude.com/,Coding Agent,Open-Core,Pay-per-Use,Cloud,green,"[Active] HTTP 200; redirects to https://claude.com/product/claude-code; title=Claude Code by Anthropic | AI Coding Agent, Terminal, IDE",2026-09-06
Claude-Swarm,https://github.com/parruda/claude-swarm,Coding Agent,Open Source,Free,CLI,red,[Unknown] github.com/parruda/claude-swarm 404,2026-09-06
Claw Code,https://github.com/ultraworkers/claw-code,Coding Agent,,,,green,[NEW vs seed] [Active] OSS Claude-style agent [lane4 live verify],2026-09-06
